file_name,rule_id,severity,line_number,detected_message,actual_code_line,validity,verification_reason
GoldenTime_todo (2).ctl.txt,MANUAL-005,Info,80,"[MANUAL_REVIEW] 적절한 DP 처리 함수 사용: 2) 비동기 처리(dpConnect, dpQueryConnectSing) 시, Callback함수의 병목 요소는 없는가? - Callback함수 내 이벤트 처리의 병목 발생 요소 최소화 : delay() 사용 지양 : 처리 시간 소요되는 작업은 별도 스레드/큐 사용 필요","dpConnect(""CB_ChangeActiveCondition"", manager_dpname + "".Action.ActiveCondition"");",VALID,룰 검사 기준 부합
PitPumpEWSAlarm.ctl,CTL_PRF_001,Medium,1038,[CTL_PRF_001] 위반: Loop문 내에 처리 조건,while(true),VALID,룰 검사 기준 부합
PitPumpEWSAlarm.ctl,CTL_PRF_001,Medium,1511,[CTL_PRF_001] 위반: Loop문 내에 처리 조건,while(true),VALID,룰 검사 기준 부합
PitPumpEWSAlarm.ctl,CTL_PRF_001,Medium,1615,[CTL_PRF_001] 위반: Loop문 내에 처리 조건,while(true),VALID,룰 검사 기준 부합
PitPumpEWSAlarm.ctl,MANUAL-005,Info,170,"[MANUAL_REVIEW] 적절한 DP 처리 함수 사용: 2) 비동기 처리(dpConnect, dpQueryConnectSing) 시, Callback함수의 병목 요소는 없는가? - Callback함수 내 이벤트 처리의 병목 발생 요소 최소화 : delay() 사용 지양 : 처리 시간 소요되는 작업은 별도 스레드/큐 사용 필요","dpConnect(""CB_ChangeActiveCondition"", manager_dpname + "".Action.ActiveCondition"");",VALID,룰 검사 기준 부합
PitPumpEWSAlarm.ctl,CTL_ERR_002,Medium,968,"[CTL_ERR_002] 위반: Try, Catch 예외처리",int MonthMaxCountReset(string dp),VALID,예외 처리 구문 미사용 확인
PitPumpEWSAlarm.ctl,CTL_ERR_002,Medium,1323,"[CTL_ERR_002] 위반: Try, Catch 예외처리",,VALID,예외 처리 구문 미사용 확인
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,833,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.CANCEL_BIT\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,834,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.ALMRESET_BIT\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,835,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.HOLD_BIT\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1019,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.START_BIT\"",bitstart);",VALID,룰 검사 기준 부합
