file_name,rule_id,rule_name,checker_key,source_key,severity,line_start,line_end,code_snippet,message,is_mapped_to_excel
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1023,1023,"dpGet($SetDP + \"".cmd.AB_START\"",abstart);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1040,1040,"dpSet($SetDP + \"".cmd.AB_START\"",false);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1042,1042,"dpSet($SetDP + \"".cmd.AB_START\"",true);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1045,1045,"dpSet($SetDP + \"".cmd.START_BIT\"",0);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1054,1054,"dpSet($SetDP + \"".cmd.HOLD_RESET\"",1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1056,1056,"dpSet($SetDP + \"".cmd.HOLD_BIT\"",0);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1065,1065,"dpSet($SetDP + \"".cmd.AL_RESET\"",1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1067,1067,"dpSet($SetDP + \"".cmd.ALMRESET_BIT\"",0);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1076,1076,"dpSet($SetDP + \"".cmd.CANCEL\"",1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1078,1078,"dpSet($SetDP + \"".cmd.CANCEL_BIT\"",0);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1186,1186,"dpSet($SetDP  + \"".cmd.AUTOSEL.SEL1\"",cur_value[1]);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1187,1187,"dpSet($SetDP  + \"".cmd.AUTOSEL.SEL2\"",cur_value[2]);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1188,1188,"dpSet($SetDP  + \"".cmd.AUTOSEL.SEL3\"",cur_value[3]);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1189,1189,"dpSet($SetDP  + \"".cmd.AUTOSEL.SEL4\"",cur_value[4]);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,1190,1190,"dpSet($SetDP  + \"".cmd.AUTOSEL.SEL5\"",cur_value[5]);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3539,3539,"dpGet(\""C1_HVAC:T1_HGB_C2701A_ZV.PVLAST\"",ST1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3540,3540,"dpGet(\""C1_HVAC:T1_DPT_C2HG01NLOGIC.alert.LOOPERR\"",LOOP1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3541,3541,"dpGet(\""C1_HVAC:T1_HGB_C2701A_MVD_I.PVLAST\"",PV1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3542,3542,"dpGet(\""C1_HVAC:T1_HGB_C2701A_MVD_TOT.PVLAST\"",TOT1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3608,3608,"dpGet(\""C1_HVAC:T1_HGB_C2701B_ZV.PVLAST\"",ST1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3609,3609,"dpGet(\""C1_HVAC:T1_DPT_C2HG01NLOGIC.alert.LOOPERR\"",LOOP1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3610,3610,"dpGet(\""C1_HVAC:T1_HGB_C2701B_MVD_I.PVLAST\"",PV1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3611,3611,"dpGet(\""C1_HVAC:T1_HGB_C2701B_MVD_TOT.PVLAST\"",TOT1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3678,3678,"dpGet(\""C1_HVAC:T1_HGB_C2701C_ZV.PVLAST\"",ST1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,"Event, Ctrl Manager 이벤트 교환 횟수 최소화",ctl.batch_dp_ops,"성능|시스템 부하 및 성능 최적화|Event, Ctrl Manager 이벤트 교환 횟수 최소화",Medium,3679,3679,"dpGet(\""C1_HVAC:T1_DPT_C2HG01NLOGIC.alert.LOOPERR\"",LOOP1);","[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화",True
